Name,Ticker,TSLA,AAPL,MSFT,GOOG,AMZN,FB,BRK.A,JPM,V,JNJ,WMT,MA,DIS,UNH,BAC,NVDA,PG,HD,PYPL,INTC,CMCSA,XOM,VZ,NFLX,KO,NKE,ABT,T,ADBE,CSCO,CVX,PFE,MRK,CRM,AVGO,ORCL,PEP,ABBV,LLY,ACN,TMO,MCD,WFC,TXN,DHR,MDT,MS,C,BA,QCOM,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation
Salesforce.com Inc,CRM,0.58,0.59,0.66,0.55,0.57,0.61,0.54,0.31,0.62,0.37,0.26,0.69,0.35,0.27,0.37,0.53,0.29,0.66,0.47,0.31,0.31,0.29,0.21,0.49,0.29,0.51,0.45,0.41,0.73,0.18,0.35,0.2,0.26,-,0.43,0.25,0.32,0.22,0.07,0.53,0.31,0.52,0.2,0.54,0.35,0.52,0.4,0.39,0.42,0.37,23.05%,2.48%,9.59%,33.21%
Broadcom Limited,AVGO,0.34,0.48,0.53,0.4,0.4,0.51,0.54,0.47,0.53,0.38,0.04,0.55,0.53,0.28,0.54,0.47,0.27,0.55,0.54,0.5,0.36,0.59,0.15,0.41,0.33,0.61,0.51,0.49,0.58,0.4,0.53,0.18,0.18,0.43,-,0.58,0.31,0.39,0.13,0.56,0.28,0.29,0.43,0.66,0.33,0.38,0.62,0.55,0.5,0.53,29.44%,2.50%,8.31%,28.77%
Oracle Corporation,ORCL,0.16,0.48,0.56,0.37,0.51,0.46,0.54,0.54,0.53,0.56,0.19,0.54,0.54,0.35,0.66,0.47,0.33,0.41,0.46,0.38,0.5,0.53,0.26,0.39,0.35,0.5,0.44,0.45,0.55,0.5,0.4,0.27,0.23,0.25,0.58,-,0.33,0.26,0.16,0.52,0.4,0.3,0.49,0.54,0.35,0.35,0.57,0.63,0.43,0.36,10.21%,1.88%,6.04%,20.92%
Pepsico Inc,PEP,0.34,0.33,0.5,0.33,0.41,0.29,0.52,0.43,0.53,0.64,0.39,0.55,0.47,0.29,0.42,0.09,0.71,0.53,0.43,0.1,0.71,0.37,0.59,0.12,0.74,0.31,0.36,0.6,0.4,0.31,0.42,0.45,0.46,0.32,0.31,0.33,-,0.24,0.15,0.65,0.47,0.57,0.38,0.43,0.46,0.57,0.46,0.5,0.39,0.41,8.85%,1.57%,5.01%,17.37%
AbbVie Inc.,ABBV,0.24,0.18,0.38,0.39,0.27,0.2,0.45,0.44,0.45,0.24,-0.02,0.37,0.36,0.39,0.43,0.25,-0.09,0.33,0.46,0.25,0.29,0.41,0.16,0.08,0.17,0.32,0.12,0.33,0.32,0.39,0.5,0.34,0.16,0.22,0.39,0.26,0.24,-,0.18,0.44,0.13,0.1,0.46,0.44,0.12,0.43,0.47,0.45,0.41,0.31,2.65%,1.97%,9.08%,31.46%
Eli Lilly and Company,LLY,0.19,0.14,0.37,0.11,0.22,-0.16,0.09,0.1,0.13,0.53,-0.04,0.08,0.04,0.27,0.12,-0.05,-0.08,0.02,0.16,0.48,0.1,0.31,0.14,0.06,-0.08,0,0.41,0.12,0.1,0.32,0.23,0.21,0.37,0.07,0.13,0.16,0.15,0.18,-,0.17,0.24,0.04,0.2,0.1,0.19,0.22,0.13,0.16,0.15,-0.04,41.59%,1.95%,7.59%,26.30%
Accenture plc,ACN,0.36,0.63,0.7,0.6,0.63,0.66,0.62,0.61,0.8,0.58,0.36,0.82,0.66,0.55,0.67,0.45,0.5,0.62,0.74,0.29,0.7,0.67,0.48,0.45,0.55,0.59,0.42,0.61,0.74,0.63,0.67,0.36,0.4,0.53,0.56,0.52,0.65,0.44,0.17,-,0.41,0.55,0.59,0.7,0.47,0.67,0.7,0.75,0.55,0.43,17.90%,1.85%,6.81%,23.60%
Thermo Fisher Scientific Inc,TMO,0.2,0.42,0.51,0.35,0.59,0.41,0.39,0.31,0.16,0.65,0.44,0.18,0.17,0.4,0.36,0.33,0.43,0.58,0.34,0.04,0.33,0.28,0.41,0.24,0.2,0.21,0.69,0.48,0.3,0.3,0.27,0.58,0.36,0.31,0.28,0.4,0.47,0.13,0.24,0.41,-,0.39,0.07,0.41,0.84,0.27,0.29,0.33,0.07,0.41,29.59%,1.80%,6.43%,22.29%
McDonald's Corporation,MCD,0.45,0.31,0.47,0.36,0.37,0.37,0.52,0.39,0.57,0.53,0.37,0.57,0.42,0.24,0.4,0.07,0.49,0.56,0.42,0.19,0.52,0.41,0.58,0.01,0.67,0.31,0.4,0.45,0.42,0.26,0.47,0.36,0.4,0.52,0.29,0.3,0.57,0.1,0.04,0.55,0.39,-,0.31,0.44,0.53,0.57,0.41,0.4,0.37,0.27,12.05%,1.73%,5.47%,18.95%
Wells Fargo & Company,WFC,0.25,0.32,0.36,0.49,0.14,0.34,0.68,0.83,0.59,0.43,0.14,0.6,0.65,0.4,0.83,0.2,0.24,0.24,0.41,0.45,0.73,0.78,0.4,0.14,0.5,0.47,0.12,0.58,0.35,0.48,0.71,0.25,0.24,0.2,0.43,0.49,0.38,0.46,0.2,0.59,0.07,0.31,-,0.56,0.02,0.57,0.73,0.83,0.72,0.24,-11.76%,2.54%,10.00%,34.64%
Texas Instruments Incorporated,TXN,0.32,0.52,0.69,0.67,0.55,0.62,0.62,0.66,0.57,0.4,0.21,0.62,0.54,0.26,0.72,0.48,0.41,0.66,0.59,0.4,0.56,0.64,0.22,0.33,0.37,0.67,0.5,0.62,0.67,0.46,0.63,0.18,0.13,0.54,0.66,0.54,0.43,0.44,0.1,0.7,0.41,0.44,0.56,-,0.47,0.56,0.67,0.7,0.52,0.6,20.00%,2.14%,7.12%,24.66%
Danaher Corporation,DHR,0.2,0.31,0.51,0.35,0.57,0.34,0.29,0.22,0.23,0.52,0.28,0.25,0.13,0.21,0.31,0.19,0.41,0.57,0.4,0.09,0.23,0.33,0.32,0.27,0.18,0.25,0.69,0.47,0.36,0.35,0.32,0.5,0.29,0.35,0.33,0.35,0.46,0.12,0.19,0.47,0.84,0.53,0.02,0.47,-,0.34,0.22,0.27,0.13,0.31,31.66%,1.64%,6.33%,21.94%
Medtronic plc,MDT,0.32,0.44,0.51,0.57,0.39,0.31,0.7,0.56,0.76,0.53,0.28,0.75,0.57,0.45,0.55,0.27,0.41,0.51,0.45,0.38,0.54,0.54,0.5,0.09,0.64,0.45,0.53,0.6,0.5,0.37,0.61,0.54,0.57,0.52,0.38,0.35,0.57,0.43,0.22,0.67,0.27,0.57,0.57,0.56,0.34,-,0.49,0.53,0.44,0.29,15.90%,1.78%,5.83%,20.19%
Morgan Stanley,MS,0.48,0.56,0.63,0.68,0.41,0.58,0.74,0.9,0.68,0.54,0.23,0.68,0.79,0.41,0.89,0.42,0.32,0.5,0.68,0.44,0.74,0.73,0.3,0.25,0.58,0.47,0.29,0.59,0.59,0.54,0.69,0.28,0.12,0.4,0.62,0.57,0.46,0.47,0.13,0.7,0.29,0.41,0.73,0.67,0.22,0.49,-,0.89,0.66,0.54,14.15%,2.47%,10.06%,34.86%
Citigroup Inc.,C,0.36,0.52,0.61,0.65,0.48,0.63,0.74,0.9,0.68,0.56,0.23,0.72,0.74,0.48,0.94,0.35,0.34,0.52,0.55,0.35,0.73,0.82,0.33,0.38,0.58,0.53,0.28,0.73,0.59,0.63,0.77,0.34,0.2,0.39,0.55,0.63,0.5,0.45,0.16,0.75,0.33,0.4,0.83,0.7,0.27,0.53,0.89,-,0.73,0.45,-1.38%,2.78%,12.26%,42.46%
Boeing Company,BA,0.28,0.3,0.42,0.35,0.13,0.31,0.51,0.59,0.59,0.23,0.11,0.61,0.53,0.13,0.61,0.21,0.14,0.35,0.43,0.32,0.57,0.6,0.18,0.21,0.45,0.49,0.06,0.55,0.51,0.36,0.59,0.08,0.21,0.42,0.5,0.43,0.39,0.41,0.15,0.55,0.07,0.37,0.72,0.52,0.13,0.44,0.66,0.73,-,0.3,-15.15%,3.56%,14.50%,50.24%
QUALCOMM Incorporated,QCOM,0.26,0.58,0.65,0.35,0.44,0.45,0.58,0.51,0.39,0.35,0.36,0.38,0.54,0.05,0.43,0.45,0.31,0.5,0.46,0.06,0.47,0.27,0.15,0.18,0.29,0.34,0.4,0.37,0.48,0.26,0.22,0.24,0.12,0.37,0.53,0.36,0.41,0.31,-0.04,0.43,0.41,0.27,0.24,0.6,0.31,0.29,0.54,0.45,0.3,-,31.92%,2.66%,13.25%,45.89%
